Throw_IDs,Times_Practiced_x,Player_Consistency_Score,Cumulative_Impact_Force,Throws_Per_Week,Throw_Technique_Style,Player_Experience_Level,Throw_Accuracy_Deviation,Flip_Result,Times_Practiced_y,Times_Adjusted_Grip,Impact_Point
102500,95248.0,14.0,751.0,7.0,Steady_Push,Rookie (0-25),10.0,Yes,95248.0,5.0,Face_Hit
101073,28826.0,32.0,972.0,23.0,Quick_Flick,Veteran (46-65),0.0,Yes,28826.0,5.0,Edge_Hit
100095,91146.0,5.0,164.0,7.0,Steady_Push,Experienced (26-45),0.0,Yes,91146.0,4.0,Corner_Hit
101077,41586.0,12.0,556.0,16.0,Calculated_Lob,Experienced (26-45),1.0,Yes,41586.0,5.0,Edge_Hit
100872,135391.0,34.0,835.0,13.0,Steady_Push,Experienced (26-45),23.0,Yes,135391.0,1.0,Corner_Hit
102922,127876.0,32.0,158.0,2.0,Steady_Push,Veteran (46-65),0.0,Yes,127876.0,1.0,Face_Hit
100113,423038.0,39.0,998.26,17.0,Steady_Push,Experienced (26-45),3.0,No,423038.0,0.0,Corner_Hit
102373,200880.0,26.0,487.0,27.0,Calculated_Lob,Experienced (26-45),7.0,Yes,200880.0,0.0,Corner_Hit
100812,362926.0,36.0,966.48,22.0,Calculated_Lob,Experienced (26-45),18.0,No,362926.0,1.0,Edge_Hit
103089,314695.0,59.0,663.87,18.0,Calculated_Lob,Veteran (46-65),1.0,No,314695.0,4.0,Face_Hit
102644,350278.0,59.0,629.89,7.0,Calculated_Lob,Experienced (26-45),4.0,No,350278.0,3.0,Edge_Hit
101320,131798.0,13.0,657.0,18.0,Steady_Push,Experienced (26-45),12.0,Yes,131798.0,6.0,Corner_Hit
100818,229180.0,20.0,774.81,19.0,Calculated_Lob,Veteran (46-65),16.0,Yes,229180.0,2.0,Corner_Hit
100356,52237.0,36.0,872.0,7.0,Calculated_Lob,Veteran (46-65),13.0,Yes,52237.0,6.0,Corner_Hit
101792,149009.0,20.0,374.0,5.0,Steady_Push,Veteran (46-65),27.0,Yes,149009.0,0.0,Edge_Hit
100670,242770.0,25.0,221.16,11.0,Quick_Flick,Experienced (26-45),19.0,Yes,242770.0,10.0,Edge_Hit
100399,266164.0,32.0,805.1,22.0,Steady_Push,Experienced (26-45),19.0,No,266164.0,2.0,Face_Hit
102711,2235.0,55.0,623.0,28.0,Quick_Flick,Rookie (0-25),21.0,Yes,2235.0,7.0,Edge_Hit
101206,365924.0,34.0,709.8,9.0,Calculated_Lob,Experienced (26-45),10.0,No,365924.0,0.0,Edge_Hit
101097,185360.0,47.0,949.0,10.0,Steady_Push,Veteran (46-65),27.0,Yes,185360.0,1.0,Face_Hit
102115,238848.0,56.0,983.63,11.0,Quick_Flick,Veteran (46-65),5.0,Yes,238848.0,10.0,Face_Hit
100450,367159.0,39.0,832.09,1.0,Steady_Push,Experienced (26-45),14.0,No,367159.0,2.0,Face_Hit
102576,116275.0,60.0,,28.0,Quick_Flick,Experienced (26-45),30.0,Yes,116275.0,4.0,Edge_Hit
100507,12624.0,36.0,137.0,6.0,Calculated_Lob,Master (65+),23.0,Yes,12624.0,3.0,Corner_Hit
100122,442155.0,59.0,975.82,27.0,Calculated_Lob,Experienced (26-45),11.0,No,442155.0,3.0,Corner_Hit
100468,72467.0,52.0,955.0,16.0,Quick_Flick,Experienced (26-45),9.0,Yes,72467.0,8.0,Face_Hit
100242,200752.0,8.0,423.0,3.0,Steady_Push,Rookie (0-25),28.0,Yes,200752.0,0.0,Face_Hit
101184,264802.0,53.0,541.19,7.0,Steady_Push,Experienced (26-45),15.0,No,264802.0,1.0,Face_Hit
100432,281291.0,19.0,608.66,26.0,Steady_Push,Veteran (46-65),3.0,No,281291.0,1.0,Edge_Hit
101222,282955.0,3.0,755.5,,Calculated_Lob,Veteran (46-65),,No,282955.0,0.0,Edge_Hit
101264,96090.0,22.0,749.0,20.0,Calculated_Lob,Experienced (26-45),17.0,Yes,96090.0,6.0,Edge_Hit
101683,357023.0,30.0,856.85,12.0,Steady_Push,Experienced (26-45),3.0,No,357023.0,3.0,Corner_Hit
101396,24284.0,53.0,292.0,29.0,Calculated_Lob,Rookie (0-25),7.0,Yes,24284.0,3.0,Face_Hit
101564,252012.0,60.0,759.08,12.0,Calculated_Lob,Rookie (0-25),21.0,Yes,252012.0,8.0,Face_Hit
101240,184183.0,58.0,235.0,10.0,Quick_Flick,Veteran (46-65),22.0,Yes,184183.0,1.0,Face_Hit
102116,282442.0,54.0,868.16,21.0,Calculated_Lob,Veteran (46-65),0.0,No,282442.0,2.0,Corner_Hit
100621,96913.0,44.0,801.0,19.0,Quick_Flick,Veteran (46-65),19.0,Yes,96913.0,10.0,Edge_Hit
101131,241511.0,39.0,971.96,27.0,Quick_Flick,Rookie (0-25),3.0,Yes,241511.0,10.0,Corner_Hit
100888,61623.0,19.0,182.0,10.0,Calculated_Lob,Experienced (26-45),27.0,Yes,61623.0,8.0,Face_Hit
100891,166495.0,9.0,582.0,17.0,Steady_Push,Veteran (46-65),4.0,Yes,166495.0,2.0,Corner_Hit
100520,241075.0,19.0,302.66,19.0,Steady_Push,Veteran (46-65),15.0,Yes,241075.0,10.0,Edge_Hit
100789,373491.0,10.0,977.36,7.0,Calculated_Lob,Experienced (26-45),4.0,No,373491.0,1.0,Face_Hit
102616,247621.0,5.0,428.51,22.0,Quick_Flick,Rookie (0-25),16.0,Yes,247621.0,8.0,Corner_Hit
101315,368792.0,33.0,501.77,20.0,Calculated_Lob,Veteran (46-65),20.0,No,368792.0,0.0,Edge_Hit
102151,158786.0,24.0,704.0,11.0,Calculated_Lob,Experienced (26-45),13.0,Yes,158786.0,5.0,Face_Hit
100393,113939.0,51.0,109.0,29.0,Quick_Flick,Veteran (46-65),3.0,Yes,113939.0,0.0,Corner_Hit
101519,112970.0,31.0,435.0,3.0,Calculated_Lob,Experienced (26-45),6.0,Yes,112970.0,4.0,Corner_Hit
101011,32473.0,48.0,382.0,1.0,Calculated_Lob,Experienced (26-45),9.0,Yes,32473.0,3.0,Corner_Hit
100719,249169.0,17.0,229.81,30.0,Steady_Push,Veteran (46-65),3.0,Yes,249169.0,8.0,Face_Hit
102804,236461.0,22.0,307.37,15.0,Calculated_Lob,Veteran (46-65),2.0,Yes,236461.0,8.0,Edge_Hit
101325,179943.0,52.0,329.0,,Calculated_Lob,Veteran (46-65),18.0,Yes,179943.0,8.0,Face_Hit
102449,65624.0,59.0,748.0,12.0,Quick_Flick,Rookie (0-25),30.0,Yes,65624.0,10.0,Face_Hit
100668,125488.0,40.0,633.0,23.0,Calculated_Lob,Experienced (26-45),9.0,Yes,125488.0,5.0,Face_Hit
101839,26054.0,49.0,857.0,20.0,Steady_Push,Experienced (26-45),8.0,Yes,26054.0,6.0,Face_Hit
102764,55206.0,1.0,946.0,29.0,Calculated_Lob,Veteran (46-65),18.0,Yes,55206.0,4.0,Face_Hit
102837,159015.0,4.0,953.0,4.0,Quick_Flick,Experienced (26-45),26.0,Yes,159015.0,1.0,Face_Hit
100396,146791.0,31.0,921.0,20.0,Steady_Push,Master (65+),5.0,Yes,146791.0,1.0,Face_Hit
100297,338455.0,56.0,983.16,21.0,Calculated_Lob,Experienced (26-45),15.0,No,338455.0,1.0,Corner_Hit
100294,342135.0,37.0,741.75,22.0,Calculated_Lob,Veteran (46-65),12.0,No,342135.0,,Edge_Hit
103192,415289.0,8.0,725.82,1.0,Steady_Push,Experienced (26-45),17.0,No,415289.0,1.0,Corner_Hit
102207,268597.0,59.0,520.06,27.0,Calculated_Lob,Rookie (0-25),18.0,No,268597.0,2.0,Corner_Hit
100919,11590.0,41.0,343.0,9.0,Quick_Flick,Experienced (26-45),8.0,Yes,11590.0,10.0,Corner_Hit
101201,230256.0,14.0,275.75,22.0,Quick_Flick,Veteran (46-65),19.0,Yes,230256.0,0.0,Face_Hit
100828,15458.0,44.0,223.0,5.0,Steady_Push,Experienced (26-45),10.0,Yes,15458.0,,Corner_Hit
100732,195566.0,48.0,204.0,13.0,Calculated_Lob,Rookie (0-25),16.0,Yes,195566.0,0.0,Corner_Hit
